"","EXPSAMPLE_ACCESSION","FILE_INFO_ID","RESULT_SCHEMA"
"294","ES717819",703261,"PUBLIC REPOSITORY"
"295","ES717820",703261,"PUBLIC REPOSITORY"
"296","ES717821",703261,"PUBLIC REPOSITORY"
"297","ES717822",703261,"PUBLIC REPOSITORY"
"298","ES717823",703261,"PUBLIC REPOSITORY"
"299","ES717824",703261,"PUBLIC REPOSITORY"
"300","ES717825",703261,"PUBLIC REPOSITORY"
"301","ES717826",703261,"PUBLIC REPOSITORY"
"302","ES717827",703261,"PUBLIC REPOSITORY"
"303","ES717828",703261,"PUBLIC REPOSITORY"
"304","ES717829",703261,"PUBLIC REPOSITORY"
"305","ES717830",703261,"PUBLIC REPOSITORY"
"306","ES717831",703261,"PUBLIC REPOSITORY"
"307","ES717832",703261,"PUBLIC REPOSITORY"
"308","ES717833",703261,"PUBLIC REPOSITORY"
"309","ES717834",703261,"PUBLIC REPOSITORY"
"310","ES717835",703261,"PUBLIC REPOSITORY"
"311","ES717836",703261,"PUBLIC REPOSITORY"
"312","ES717837",703261,"PUBLIC REPOSITORY"
"313","ES717838",703261,"PUBLIC REPOSITORY"
"314","ES717839",703261,"PUBLIC REPOSITORY"
"315","ES717840",703261,"PUBLIC REPOSITORY"
"316","ES717841",703261,"PUBLIC REPOSITORY"
"317","ES717842",703261,"PUBLIC REPOSITORY"
"318","ES717843",703261,"PUBLIC REPOSITORY"
"319","ES717844",703261,"PUBLIC REPOSITORY"
"320","ES717845",703261,"PUBLIC REPOSITORY"
"321","ES717846",703261,"PUBLIC REPOSITORY"
"322","ES717847",703261,"PUBLIC REPOSITORY"
"323","ES717848",703261,"PUBLIC REPOSITORY"
"324","ES717849",703261,"PUBLIC REPOSITORY"
"325","ES717850",703261,"PUBLIC REPOSITORY"
"326","ES717851",703261,"PUBLIC REPOSITORY"
"327","ES717852",703261,"PUBLIC REPOSITORY"
"328","ES717853",703261,"PUBLIC REPOSITORY"
"329","ES717854",703261,"PUBLIC REPOSITORY"
"330","ES717855",703261,"PUBLIC REPOSITORY"
"331","ES717856",703261,"PUBLIC REPOSITORY"
"332","ES717857",703261,"PUBLIC REPOSITORY"
"333","ES717858",703261,"PUBLIC REPOSITORY"
"334","ES717859",703261,"PUBLIC REPOSITORY"
"335","ES717860",703261,"PUBLIC REPOSITORY"
"336","ES717861",703261,"PUBLIC REPOSITORY"
"337","ES717862",703261,"PUBLIC REPOSITORY"
"338","ES717863",703261,"PUBLIC REPOSITORY"
"339","ES717864",703261,"PUBLIC REPOSITORY"
"340","ES717865",703261,"PUBLIC REPOSITORY"
"341","ES717866",703261,"PUBLIC REPOSITORY"
"342","ES717867",703261,"PUBLIC REPOSITORY"
"343","ES717868",703261,"PUBLIC REPOSITORY"
"344","ES717869",703261,"PUBLIC REPOSITORY"
"345","ES717870",703261,"PUBLIC REPOSITORY"
"346","ES717871",703261,"PUBLIC REPOSITORY"
"347","ES717872",703261,"PUBLIC REPOSITORY"
"348","ES717873",703261,"PUBLIC REPOSITORY"
"349","ES717874",703261,"PUBLIC REPOSITORY"
"350","ES717875",703261,"PUBLIC REPOSITORY"
"351","ES717876",703261,"PUBLIC REPOSITORY"
"352","ES717877",703261,"PUBLIC REPOSITORY"
"353","ES717878",703261,"PUBLIC REPOSITORY"
"354","ES717879",703261,"PUBLIC REPOSITORY"
"355","ES717880",703261,"PUBLIC REPOSITORY"
"356","ES717881",703261,"PUBLIC REPOSITORY"
"357","ES717882",703261,"PUBLIC REPOSITORY"
"358","ES717883",703261,"PUBLIC REPOSITORY"
"359","ES717884",703261,"PUBLIC REPOSITORY"
"360","ES717885",703261,"PUBLIC REPOSITORY"
"361","ES717886",703261,"PUBLIC REPOSITORY"
"362","ES717887",703261,"PUBLIC REPOSITORY"
"363","ES717888",703261,"PUBLIC REPOSITORY"
"364","ES717889",703261,"PUBLIC REPOSITORY"
"365","ES717890",703261,"PUBLIC REPOSITORY"
"366","ES717891",703261,"PUBLIC REPOSITORY"
"367","ES717892",703261,"PUBLIC REPOSITORY"
"368","ES717893",703261,"PUBLIC REPOSITORY"
"369","ES717894",703261,"PUBLIC REPOSITORY"
"370","ES717895",703261,"PUBLIC REPOSITORY"
"371","ES717896",703261,"PUBLIC REPOSITORY"
"372","ES717897",703261,"PUBLIC REPOSITORY"
"373","ES717898",703261,"PUBLIC REPOSITORY"
"374","ES717899",703261,"PUBLIC REPOSITORY"
"375","ES717900",703261,"PUBLIC REPOSITORY"
"376","ES717901",703261,"PUBLIC REPOSITORY"
"377","ES717902",703261,"PUBLIC REPOSITORY"
"378","ES717903",703261,"PUBLIC REPOSITORY"
"379","ES717904",703261,"PUBLIC REPOSITORY"
"380","ES717905",703261,"PUBLIC REPOSITORY"
"381","ES717906",703261,"PUBLIC REPOSITORY"
"382","ES717907",703261,"PUBLIC REPOSITORY"
"383","ES717908",703261,"PUBLIC REPOSITORY"
"384","ES717909",703261,"PUBLIC REPOSITORY"
"385","ES717910",703261,"PUBLIC REPOSITORY"
"386","ES717911",703261,"PUBLIC REPOSITORY"
"387","ES717912",703261,"PUBLIC REPOSITORY"
"388","ES717913",703261,"PUBLIC REPOSITORY"
"389","ES717914",703261,"PUBLIC REPOSITORY"
"390","ES717915",703261,"PUBLIC REPOSITORY"
