"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"1054","BS709836","ES786395"
"1055","BS709840","ES786396"
"1056","BS709840","ES786397"
"1057","BS709840","ES786398"
"1058","BS709842","ES786399"
"1059","BS709842","ES786400"
"1060","BS709842","ES786401"
"1061","BS709843","ES786402"
"1062","BS709843","ES786403"
"1063","BS709843","ES786404"
"1064","BS709845","ES786405"
"1065","BS709845","ES786406"
"1066","BS709845","ES786407"
"1067","BS709849","ES786408"
"1068","BS709849","ES786409"
"1069","BS709849","ES786410"
"1070","BS709851","ES786411"
"1071","BS709851","ES786412"
"1072","BS709851","ES786413"
"1073","BS709853","ES786414"
"1074","BS709853","ES786415"
"1075","BS709853","ES786416"
"1076","BS709855","ES786417"
"1077","BS709855","ES786418"
"1078","BS709855","ES786419"
"1079","BS709859","ES786420"
"1080","BS709859","ES786421"
"1081","BS709859","ES786422"
"1082","BS709860","ES786423"
"1083","BS709860","ES786424"
"1084","BS709860","ES786425"
"1085","BS709862","ES786426"
"1086","BS709862","ES786427"
"1087","BS709862","ES786428"
"1088","BS709866","ES786429"
"1089","BS709866","ES786430"
"1090","BS709866","ES786431"
"1091","BS709868","ES786432"
"1092","BS709868","ES786433"
"1093","BS709868","ES786434"
"1094","BS709870","ES786435"
"1095","BS709870","ES786436"
"1096","BS709870","ES786437"
"1097","BS709872","ES786438"
"1098","BS709872","ES786439"
"1099","BS709872","ES786440"
"1100","BS709876","ES786441"
"1101","BS709876","ES786442"
"1102","BS709876","ES786443"
"1103","BS709878","ES786444"
"1104","BS709878","ES786445"
"1105","BS709878","ES786446"
"1106","BS709882","ES786447"
"1107","BS709882","ES786448"
"1108","BS709882","ES786449"
"1109","BS709884","ES786450"
"1110","BS709884","ES786451"
"1111","BS709884","ES786452"
"1112","BS709886","ES786453"
"1113","BS709886","ES786454"
"1114","BS709886","ES786455"
"1115","BS709888","ES786456"
"1116","BS709888","ES786457"
"1117","BS709888","ES786458"
"1118","BS709890","ES786459"
"1119","BS709890","ES786460"
"1120","BS709890","ES786461"
"1121","BS709894","ES786462"
"1122","BS709894","ES786463"
"1123","BS709894","ES786464"
"1124","BS709896","ES786465"
"1125","BS709896","ES786466"
"1126","BS709896","ES786467"
"1127","BS709898","ES786468"
"1128","BS709898","ES786469"
"1129","BS709898","ES786470"
"1130","BS709900","ES786471"
"1131","BS709900","ES786472"
"1132","BS709900","ES786473"
"1133","BS709904","ES786474"
"1134","BS709904","ES786475"
"1135","BS709904","ES786476"
"1136","BS709906","ES786477"
"1137","BS709906","ES786478"
"1138","BS709906","ES786479"
"1139","BS709908","ES786480"
"1140","BS709908","ES786505"
"1141","BS709908","ES786506"
"1142","BS709910","ES786507"
"1143","BS709910","ES786508"
"1144","BS709910","ES786509"
"1145","BS709912","ES786510"
"1146","BS709912","ES786511"
"1147","BS709912","ES786512"
"1148","BS709916","ES786513"
"1149","BS709916","ES786514"
"1150","BS709916","ES786515"
"1151","BS709918","ES786516"
"1152","BS709918","ES786517"
"1153","BS709918","ES786518"
"1154","BS709920","ES786519"
"1155","BS709920","ES786520"
"1156","BS709920","ES786521"
"1157","BS709922","ES786522"
"1158","BS709922","ES786523"
"1159","BS709922","ES786524"
"1160","BS709926","ES786525"
"1161","BS709926","ES786526"
"1162","BS709926","ES786527"
"1163","BS709928","ES786528"
"1164","BS709928","ES786529"
"1165","BS709928","ES786530"
"1166","BS709929","ES786531"
"1167","BS709929","ES786532"
"1168","BS709929","ES786533"
"1169","BS709931","ES786534"
"1170","BS709931","ES786535"
"1171","BS709931","ES786536"
"1172","BS709935","ES786537"
"1173","BS709935","ES786538"
"1174","BS709935","ES786539"
"1175","BS709937","ES786540"
"1176","BS709937","ES786541"
"1177","BS709937","ES786542"
"1178","BS709939","ES786543"
"1179","BS709939","ES786544"
"1180","BS709939","ES786545"
"1181","BS709941","ES786546"
"1182","BS709941","ES786547"
"1183","BS709941","ES786548"
"1184","BS709945","ES786549"
"1185","BS709945","ES786550"
"1186","BS709945","ES786551"
"1187","BS709947","ES786552"
"1188","BS709947","ES786553"
"1189","BS709947","ES786554"
"1190","BS709948","ES786555"
"1191","BS709948","ES786556"
"1192","BS709948","ES786557"
"1193","BS709950","ES786558"
"1194","BS709950","ES786559"
"1195","BS709950","ES786560"
"1196","BS709954","ES786561"
"1197","BS709954","ES786562"
"1198","BS709954","ES786563"
"1199","BS709956","ES786564"
"1200","BS709956","ES786565"
"1201","BS709956","ES786566"
"1202","BS709958","ES786567"
"1203","BS709958","ES786568"
"1204","BS709958","ES786569"
"1205","BS709960","ES786570"
"1206","BS709960","ES786571"
"1207","BS709960","ES786572"
"1208","BS709964","ES786573"
"1209","BS709964","ES786574"
"1210","BS709964","ES786575"
"1211","BS709966","ES786576"
"1212","BS709966","ES786577"
"1213","BS709966","ES786578"
"1214","BS709968","ES786579"
"1215","BS709968","ES786580"
"1216","BS709968","ES786581"
"1217","BS709972","ES786582"
"1218","BS709972","ES786583"
"1219","BS709972","ES786584"
"1220","BS709974","ES786585"
"1221","BS709974","ES786586"
"1222","BS709974","ES786587"
"1223","BS709976","ES786588"
"1224","BS709976","ES786589"
"1225","BS709976","ES786590"
"1226","BS709978","ES786591"
"1227","BS709978","ES786592"
"1228","BS709978","ES786593"
"1229","BS709982","ES786594"
"1230","BS709982","ES786595"
"1231","BS709982","ES786596"
"1232","BS709984","ES786597"
"1233","BS709984","ES786598"
"1234","BS709984","ES786599"
"1235","BS709986","ES786600"
"1236","BS709986","ES786601"
